SN_Number,影片名稱,年份,集數,觀看人數,網址
95932,粉彩回憶,2019/01,第11集,116.3萬,https://ani.gamer.com.tw/animeRef.php?sn=95932
95465,路人超能 100 第二季,2019/01,第14集,17.7萬,https://ani.gamer.com.tw/animeRef.php?sn=95465
98118,笨拙之極的上野,2019/01,第12集,7.7萬,https://ani.gamer.com.tw/animeRef.php?sn=98118
98946,不愉快的妖怪庵 續,2019/01,第13集,376.6萬,https://ani.gamer.com.tw/animeRef.php?sn=98946
112414,來自深淵 劇場版總集篇 前編：啟程的黎明,2019/01,第1集,131.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112414
102022,笑容的代價,2019/01,第12集,46萬,https://ani.gamer.com.tw/animeRef.php?sn=102022
97712,BanG Dream！第二季,2019/01,第13集,6.5萬,https://ani.gamer.com.tw/animeRef.php?sn=97712
112599,假面騎士 平成世代 Forever,2018/12,第1集,33.9萬,https://ani.gamer.com.tw/animeRef.php?sn=112599
103635,K Seven Stories Circle Vision ～Nameless Song～,2018/12,第1集,最近搜尋,https://ani.gamer.com.tw/animeRef.php?sn=103635
96881,機動戰士鋼彈 NT,2018/11,第2集,熱門搜尋,https://ani.gamer.com.tw/animeRef.php?sn=96881
112497,續·終物語,2018/11,第6集,5.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112497
103335,K Seven Stories 紅之記憶 ～BURN～,2018/11,第1集,25.8萬,https://ani.gamer.com.tw/animeRef.php?sn=103335
100198,梅露可物語,2018/10,第12集,3.2萬,https://ani.gamer.com.tw/animeRef.php?sn=100198
98376,東京喰種：re 第二季,2018/10,第12集,3.6萬,https://ani.gamer.com.tw/animeRef.php?sn=98376
112574,大人的防具店,2018/10,第12集,17萬,https://ani.gamer.com.tw/animeRef.php?sn=112574
99053,黃金神威 第二季,2018/10,第12集,74.3萬,https://ani.gamer.com.tw/animeRef.php?sn=99053
112506,尤利西斯 貞德與鍊金騎士,2018/10,第12集,22.9萬,https://ani.gamer.com.tw/animeRef.php?sn=112506
99842,Anima Yell!,2018/10,第12集,126.5萬,https://ani.gamer.com.tw/animeRef.php?sn=99842
92513,書店裡的骷髏店員本田,2018/10,第12集,4.5萬,https://ani.gamer.com.tw/animeRef.php?sn=92513
